URI,ASN,IP Prefix,Max Length,Not Before,Not After
"rsync://repository.lacnic.net/rpki/lacnic/667633a4-93d0-4f8b-a8f0-cf9292899925/cc4d92d9b872168c7a6b2bd9f9436b901c9984fa.roa",AS23243,181.189.128.0/24,24,2013-09-17 03:00:00,2015-09-17 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/667633a4-93d0-4f8b-a8f0-cf9292899925/cc4d92d9b872168c7a6b2bd9f9436b901c9984fa.roa",AS23243,190.111.29.0/24,24,2013-09-17 03:00:00,2015-09-17 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/67d2cac6-c5b9-4589-a406-f867e782d2ac/1b573e2c10a14b782b5ea67de24528e8867294db.roa",AS52357,200.124.122.0/24,24,2013-09-13 03:00:00,2015-09-13 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/3e99b931-8ddc-4864-bea6-8def754c3db6/11698561aaa7eda5ac4547d18191b5ff9ab2da9e.roa",AS32034,181.199.128.0/20,20,2013-07-19 03:00:00,2015-07-19 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/3e99b931-8ddc-4864-bea6-8def754c3db6/11698561aaa7eda5ac4547d18191b5ff9ab2da9e.roa",AS32034,186.64.124.0/22,22,2013-07-19 03:00:00,2015-07-19 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/3e99b931-8ddc-4864-bea6-8def754c3db6/11698561aaa7eda5ac4547d18191b5ff9ab2da9e.roa",AS32034,2803:6500::/32,32,2013-07-19 03:00:00,2015-07-19 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/6533c55d-07a2-4ca4-b42b-dd5d39115dad/c947b8962e5b6ddc6c0ba213bd1e195aea805ee5.roa",AS27932,179.63.252.0/22,22,2013-06-06 03:00:00,2015-06-06 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/6533c55d-07a2-4ca4-b42b-dd5d39115dad/c947b8962e5b6ddc6c0ba213bd1e195aea805ee5.roa",AS27932,2803:a700::/32,32,2013-06-06 03:00:00,2015-06-06 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/82769d80-9d1a-4e52-8a02-c834c98596b1/2b817c2b4fb9b735d22351d53c088f922c10bc04.roa",AS262168,179.49.64.0/21,21,2013-09-13 03:00:00,2017-09-13 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/82769d80-9d1a-4e52-8a02-c834c98596b1/2b817c2b4fb9b735d22351d53c088f922c10bc04.roa",AS262168,200.115.20.0/22,22,2013-09-13 03:00:00,2017-09-13 03:00:00
